iter	Passed	Remaining
400	23682	94434
401	23759	94445
402	23825	94415
403	23883	94351
404	23944	94301
405	24004	94244
406	24063	94184
407	24124	94132
408	24181	94065
409	24237	93992
410	24291	93914
411	24345	93835
412	24402	93769
413	24459	93700
414	24512	93621
415	24576	93579
416	24634	93517
417	24694	93462
418	24747	93379
419	24805	93317
420	24863	93253
421	24920	93186
422	24979	93126
423	25035	93054
424	25091	92987
425	25151	92928
426	25213	92882
427	25269	92812
428	25335	92778
429	25393	92715
430	25447	92637
431	25500	92558
432	25554	92480
433	25611	92415
434	25663	92328
435	25716	92247
436	25768	92164
437	25823	92092
438	25897	92088
439	25959	92036
440	26020	91987
441	26074	91910
442	26128	91832
443	26181	91753
444	26235	91675
445	26289	91602
446	26347	91539
447	26401	91462
448	26457	91393
449	26515	91330
450	26569	91254
451	26622	91177
452	26678	91106
453	26731	91028
454	26783	90944
455	26839	90877
456	26892	90798
457	26947	90727
458	27007	90672
459	27065	90610
460	27119	90534
461	27171	90452
462	27228	90389
463	27285	90323
464	27344	90266
465	27398	90190
466	27452	90115
467	27507	90046
468	27562	89975
469	27619	89909
470	27675	89841
471	27730	89772
472	27782	89691
473	27836	89616
474	27890	89542
475	27943	89464
476	27999	89399
477	28054	89327
478	28116	89280
479	28189	89265
480	28245	89200
481	28303	89139
482	28364	89086
483	28429	89049
484	28498	89020
485	28567	88995
486	28631	88950
487	28692	88900
488	28754	88851
489	28809	88780
490	28880	88758
491	28940	88704
492	28994	88629
493	29048	88557
494	29107	88499
495	29161	88424
496	29216	88355
497	29269	88280
498	29333	88235
499	29401	88205
500	29458	88139
501	29521	88093
502	29589	88063
503	29652	88015
504	29708	87949
505	29769	87895
506	29827	87834
507	29887	87778
508	29946	87721
509	30003	87656
510	30061	87597
511	30137	87586
512	30237	87646
513	30331	87690
514	30416	87706
515	30513	87756
516	30599	87773
517	30677	87767
518	30761	87780
519	30845	87790
520	30937	87824
521	31018	87825
522	31108	87852
523	31259	88050
524	31341	88053
525	31422	88055
526	31500	88046
527	31579	88040
528	31664	88049
529	31750	88063
530	31851	88115
531	31927	88100
532	32007	88096
533	32089	88095
534	32223	88237
535	32303	88230
536	32384	88227
537	32458	88204
538	32538	88197
539	32626	88212
540	32707	88206
541	32780	88181
542	32863	88180
543	32934	88148
544	33012	88134
545	33120	88199
546	33204	88202
547	33290	88207
548	33378	88219
549	33447	88179
550	33537	88194
551	33617	88185
552	33690	88154
553	33768	88139
554	33837	88100
555	33905	88057
556	33975	88020
557	34060	88018
558	34132	87986
559	34201	87946
560	34274	87916
561	34347	87885
562	34418	87849
563	34487	87809
564	34559	87774
565	34629	87735
566	34702	87705
567	34768	87656
568	34845	87634
569	34917	87599
570	34995	87579
571	35080	87577
572	35155	87552
573	35234	87533
574	35319	87531
575	35400	87517
576	35476	87492
577	35554	87470
578	35636	87461
579	35709	87426
580	35792	87416
581	35865	87383
582	35939	87351
583	36016	87326
584	36096	87309
585	36176	87292
586	36260	87284
587	36343	87272
588	36432	87277
589	36516	87269
590	36609	87279
591	36689	87262
592	36775	87256
593	36863	87256
594	36941	87230
595	37016	87199
596	37091	87168
597	37167	87139
598	37244	87110
599	37318	87077
600	37405	87071
601	37494	87071
602	37580	87063
603	37659	87040
604	37753	87050
605	37843	87051
606	37918	87018
607	37992	86981
608	38070	86955
609	38145	86921
610	38214	86874
611	38289	86839
612	38370	86819
613	38457	86810
614	38540	86795
615	38612	86753
616	38695	86734
617	38782	86726
618	38875	86731
619	38950	86697
620	39026	86662
621	39108	86641
622	39191	86623
623	39271	86599
624	39332	86530
625	39399	86477
626	39455	86399
627	39509	86316
628	39565	86238
629	39619	86155
630	39673	86074
631	39731	86002
632	39786	85921
633	39846	85851
634	39910	85790
635	39978	85740
636	40032	85657
637	40086	85577
638	40145	85506
639	40211	85448
640	40275	85388
641	40343	85338
642	40396	85254
643	40461	85194
644	40514	85111
645	40593	85083
646	40678	85067
647	40745	85011
648	40808	84949
649	40867	84879
650	40923	84802
651	40982	84730
652	41044	84667
653	41102	84592
654	41162	84523
655	41218	84448
656	41276	84374
657	41334	84302
658	41398	84242
659	41455	84166
660	41509	84086
661	41565	84009
662	41623	83936
663	41679	83860
664	41732	83779
665	41788	83701
666	41843	83624
667	41903	83556
668	41956	83474
669	42015	83403
670	42087	83359
671	42142	83281
672	42203	83214
673	42261	83144
674	42323	83078
675	42379	83002
676	42433	82923
677	42488	82847
678	42584	82848
679	42674	82838
680	42759	82819
681	42848	82806
682	42913	82748
683	42985	82703
684	43056	82655
685	43116	82587
686	43192	82550
687	43259	82495
688	43328	82443
689	43397	82392
690	43462	82332
691	43526	82271
692	43593	82217
693	43657	82157
694	43726	82105
695	43795	82054
696	43859	81992
697	43920	81926
698	43985	81866
699	44059	81825
700	44123	81763
701	44193	81714
702	44258	81654
703	44332	81612
704	44404	81565
705	44466	81500
706	44540	81458
707	44605	81399
708	44669	81337
709	44735	81279
710	44805	81229
711	44896	81216
712	44974	81181
713	45046	81134
714	45118	81087
715	45183	81027
716	45245	80962
717	45334	80945
718	45390	80869
719	45446	80793
720	45500	80714
721	45555	80637
722	45610	80559
723	45666	80483
724	45723	80410
725	45781	80338
726	45847	80281
727	45907	80211
728	45973	80154
729	46032	80083
730	46089	80011
731	46150	79943
732	46211	79877
733	46274	79814
734	46335	79746
735	46395	79678
736	46454	79608
737	46522	79555
738	46593	79505
739	46661	79451
740	46727	79392
741	46802	79350
742	46864	79284
743	46923	79215
744	46982	79145
745	47045	79082
746	47121	79041
747	47191	78989
748	47271	78954
749	47359	78931
750	47428	78879
751	47496	78824
752	47557	78756
753	47625	78701
754	47684	78631
755	47743	78562
756	47801	78489
757	47863	78424
758	47948	78398
759	48013	78338
760	48075	78272
761	48143	78218
762	48202	78146
763	48265	78083
764	48321	78008
765	48376	77933
766	48436	77865
767	48490	77786
768	48542	77706
769	48595	77626
770	48653	77555
771	48706	77475
772	48762	77402
773	48827	77342
774	48887	77273
775	48949	77209
776	49004	77133
777	49057	77054
778	49111	76977
779	49164	76898
780	49223	76828
781	49276	76749
782	49330	76672
783	49384	76596
784	49436	76516
785	49489	76438
786	49547	76366
787	49606	76298
788	49670	76236
789	49733	76174
790	49796	76110
791	49856	76044
792	49919	75980
793	49980	75914
794	50040	75847
795	50097	75776
796	50162	75716
797	50223	75650
798	50281	75579
799	50337	75505
800	50393	75433
801	50448	75358
802	50505	75285
803	50560	75211
804	50611	75132
805	50668	75059
806	50721	74982
807	50776	74907
808	50832	74835
809	50885	74758
810	50939	74681
811	50991	74603
812	51044	74525
813	51097	74449
814	51157	74382
815	51213	74309
816	51269	74236
817	51325	74164
818	51380	74090
819	51434	74014
820	51493	73947
821	51548	73874
822	51611	73810
823	51675	73749
824	51737	73687
825	51794	73615
826	51862	73561
827	51930	73504
828	52004	73458
829	52061	73387
830	52123	73324
831	52184	73258
832	52238	73183
833	52292	73109
834	52346	73033
835	52401	72960
836	52464	72898
837	52523	72830
838	52577	72755
839	52648	72705
840	52706	72635
841	52760	72561
842	52816	72489
843	52868	72412
844	52937	72358
845	52998	72293
846	53052	72218
847	53108	72147
848	53169	72082
849	53228	72014
850	53295	71957
851	53350	71884
852	53403	71809
853	53465	71746
854	53518	71670
855	53587	71616
856	53641	71543
857	53696	71469
858	53751	71397
859	53805	71324
860	53887	71286
861	53942	71214
862	53999	71143
863	54056	71073
864	54108	70997
865	54162	70924
866	54219	70854
867	54274	70781
868	54331	70712
869	54385	70638
870	54439	70565
871	54493	70491
872	54546	70417
873	54600	70343
874	54654	70270
875	54709	70197
876	54766	70128
877	54826	70062
878	54879	69988
879	54939	69923
880	55000	69858
881	55057	69789
882	55111	69715
883	55165	69643
884	55225	69577
885	55283	69509
886	55347	69449
887	55399	69374
888	55462	69312
889	55517	69241
890	55572	69169
891	55635	69107
892	55689	69035
893	55742	68961
894	55797	68889
895	55851	68817
896	55905	68743
897	55960	68673
898	56016	68602
899	56071	68531
900	56127	68461
901	56185	68393
902	56239	68321
903	56296	68252
904	56355	68187
905	56409	68114
906	56465	68045
907	56524	67978
908	56581	67910
909	56638	67841
910	56694	67771
911	56751	67703
912	56819	67648
913	56891	67598
914	56968	67553
915	57030	67489
916	57086	67420
917	57144	67352
918	57203	67287
919	57274	67235
920	57330	67165
921	57385	67095
922	57440	67024
923	57495	66954
924	57549	66882
925	57608	66815
926	57672	66755
927	57732	66690
928	57786	66619
929	57840	66547
930	57900	66482
931	57956	66413
932	58011	66343
933	58081	66290
934	58134	66217
935	58194	66152
936	58255	66089
937	58310	66019
938	58365	65948
939	58419	65876
940	58483	65817
941	58538	65746
942	58591	65674
943	58644	65602
944	58715	65549
945	58783	65494
946	58846	65433
947	58905	65368
948	58961	65298
949	59025	65238
950	59087	65176
951	59146	65110
952	59214	65054
953	59278	64994
954	59340	64932
955	59400	64868
956	59457	64800
957	59518	64737
958	59600	64696
959	59668	64641
960	59729	64576
961	59797	64521
962	59857	64457
963	59914	64389
964	59975	64326
965	60032	64258
966	60087	64188
967	60155	64132
968	60213	64066
969	60271	63999
970	60334	63938
971	60389	63868
972	60467	63823
973	60522	63753
974	60576	63683
975	60630	63612
976	60700	63558
977	60766	63500
978	60819	63428
979	60873	63358
980	60931	63291
981	60989	63225
982	61045	63157
983	61110	63097
984	61168	63031
985	61225	62964
986	61284	62898
987	61340	62830
988	61395	62761
989	61450	62692
990	61507	62624
991	61564	62557
992	61621	62490
993	61683	62427
994	61738	62359
995	61799	62295
996	61855	62227
997	61923	62171
998	61988	62112
999	62051	62051
1000	62118	61994
1001	62193	61944
1002	62259	61887
1003	62319	61823
1004	62376	61755
1005	62430	61686
1006	62492	61623
1007	62549	61556
1008	62602	61485
1009	62668	61427
1010	62721	61356
1011	62775	61286
1012	62830	61218
1013	62898	61162
1014	62964	61103
1015	63039	61054
1016	63099	60990
1017	63177	60943
1018	63245	60886
1019	63304	60821
1020	63365	60759
1021	63430	60699
1022	63491	60636
1023	63548	60569
1024	63618	60514
1025	63676	60449
1026	63736	60385
1027	63803	60328
1028	63867	60267
1029	63930	60206
1030	63995	60147
1031	64065	60092
1032	64145	60047
1033	64200	59978
1034	64255	59909
1035	64309	59839
1036	64370	59776
1037	64425	59708
1038	64486	59644
1039	64540	59575
1040	64596	59508
1041	64651	59439
1042	64705	59370
1043	64759	59301
1044	64813	59231
1045	64872	59166
1046	64926	59097
1047	64985	59032
1048	65049	58971
1049	65106	58906
1050	65168	58843
1051	65237	58787
1052	65294	58721
1053	65348	58652
1054	65406	58586
1055	65459	58517
1056	65515	58449
1057	65569	58380
1058	65624	58312
1059	65679	58243
1060	65734	58176
1061	65789	58108
1062	65849	58044
1063	65924	57993
1064	65978	57925
1065	66040	57863
1066	66101	57800
1067	66177	57750
1068	66233	57683
1069	66287	57614
1070	66342	57546
1071	66397	57478
1072	66457	57415
1073	66529	57361
1074	66584	57293
1075	66637	57223
1076	66696	57159
1077	66747	57087
1078	66809	57026
1079	66873	56966
1080	66929	56899
1081	66982	56830
1082	67039	56763
1083	67095	56697
1084	67159	56636
1085	67221	56575
1086	67281	56511
1087	67337	56444
1088	67398	56382
1089	67461	56321
1090	67536	56269
1091	67608	56216
1092	67674	56158
1093	67730	56090
1094	67802	56037
1095	67857	55970
1096	67919	55908
1097	67974	55840
1098	68029	55773
1099	68093	55712
1100	68153	55649
1101	68222	55593
1102	68279	55527
1103	68339	55464
1104	68396	55397
1105	68455	55333
1106	68509	55265
1107	68564	55198
1108	68618	55129
1109	68672	55061
1110	68737	55002
1111	68790	54933
1112	68846	54866
1113	68900	54798
1114	68963	54738
1115	69024	54675
1116	69082	54610
1117	69140	54545
1118	69196	54479
1119	69253	54413
1120	69313	54350
1121	69374	54287
1122	69431	54221
1123	69487	54156
1124	69542	54088
1125	69598	54022
1126	69654	53956
1127	69712	53891
1128	69768	53824
1129	69827	53761
1130	69881	53693
1131	69934	53624
1132	69988	53556
1133	70041	53488
1134	70096	53421
1135	70152	53355
1136	70206	53287
1137	70262	53221
1138	70317	53155
1139	70371	53087
1140	70426	53020
1141	70481	52953
1142	70563	52907
1143	70616	52838
1144	70674	52774
1145	70728	52707
1146	70782	52639
1147	70837	52573
1148	70892	52506
